,player_win,player_loss,push,total_hands,win_pct,win_push,win_push_pct,doubles_won,doubles_lost,doubles_won_pct,player_bj,dealer_bj,dealer_high_card,dealer_low_card,dealer_bust,dealer_draw,dealer_stand,dealer_bust_pct,dealer_draw_pct,dealer_stand_pct,dealer_avg_hand,num_of_shuffles,shuffle_method
0,0,1,0,1,0.0,0,0.0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,1.0,19.0,1,python
0,1,0,0,1,1.0,1,1.0,0,0,0,0,0,1,0,1,0,0,1.0,0.0,0.0,0,1,python
0,0,1,0,1,0.0,0,0.0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,1.0,17.0,1,python
0,0,1,0,1,0.0,0,0.0,0,0,0,0,0,0,1,0,0,1,0.0,0.0,1.0,17.0,1,python
0,1,0,0,1,1.0,1,1.0,0,0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0,1,python
0,1,0,0,1,1.0,1,1.0,0,0,0,0,0,1,0,1,0,0,1.0,0.0,0.0,0,1,python
0,1,0,0,1,1.0,1,1.0,0,0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0,1,python
0,1,1,0,2,0.5,1,0.5,0,0,0,0,0,1,1,1,1,0,0.5,0.5,0.0,0,1,python
0,1,0,0,1,1.0,1,1.0,0,0,0,0,0,1,0,0,1,0,0.0,1.0,0.0,17.0,1,python
0,1,0,0,1,1.0,1,1.0,0,0,0,0,0,1,0,1,0,0,1.0,0.0,0.0,0,1,python
0,18,21,5,44,0.409,23,0.523,4,1,0.8,2,2,30,14,10,11,23,0.227,0.25,0.523,18.333,1,python
0,3,1,0,4,0.75,3,0.75,1,0,1.0,0,0,3,1,2,0,2,0.5,0.0,0.5,18.25,2,python
