,player_win,player_loss,push,total_hands,win_pct,win_push,win_push_pct,doubles_won,doubles_lost,doubles_won_pct,player_bj,dealer_bj,dealer_high_card,dealer_low_card,dealer_bust,dealer_draw,dealer_stand,dealer_bust_pct,dealer_draw_pct,dealer_stand_pct,dealer_avg_hand,num_of_shuffles,shuffle_method
0,25,17,5,47,0.532,30,0.638,3,2,0.6,4,1,28,19,14,13,20,0.298,0.277,0.426,16.862,1,python
0,21,22,4,47,0.447,25,0.532,4,2,0.667,2,1,28,19,15,11,21,0.319,0.234,0.447,17.148,2,python
0,18,28,2,48,0.375,20,0.417,1,1,0.5,4,4,33,15,6,13,29,0.125,0.271,0.604,17.239,3,python
0,23,21,4,48,0.479,27,0.562,4,3,0.571,1,2,22,26,17,14,17,0.354,0.292,0.354,17.416,4,python
0,18,26,3,47,0.383,21,0.447,3,3,0.5,1,4,22,25,13,17,17,0.277,0.362,0.362,17.518,5,python
0,18,27,1,46,0.391,19,0.413,4,3,0.571,2,2,29,17,9,19,18,0.196,0.413,0.391,17.537,6,python
0,17,24,4,45,0.378,21,0.467,3,0,1.0,2,3,27,18,14,6,25,0.311,0.133,0.556,17.562,7,python
0,18,22,5,45,0.4,23,0.511,1,3,0.25,1,1,30,15,10,18,17,0.222,0.4,0.378,17.606,8,python
0,13,28,4,45,0.289,17,0.378,3,0,1.0,0,1,27,18,9,15,21,0.2,0.333,0.467,17.687,9,python
0,22,22,5,49,0.449,27,0.551,1,3,0.25,3,1,23,26,10,21,18,0.204,0.429,0.367,17.704,10,python
0,17,27,5,49,0.347,22,0.449,3,6,0.333,2,4,31,18,7,16,26,0.143,0.327,0.531,17.748,11,python
0,21,21,4,46,0.457,25,0.543,3,3,0.5,2,3,25,21,10,11,25,0.217,0.239,0.543,17.733,12,python
0,17,22,5,44,0.386,22,0.5,5,1,0.833,1,3,29,15,13,10,21,0.295,0.227,0.477,17.739,13,python
0,16,26,3,45,0.356,19,0.422,3,2,0.6,0,5,32,13,8,12,25,0.178,0.267,0.556,17.674,14,python
0,18,26,2,46,0.391,20,0.435,4,1,0.8,2,3,21,25,11,13,22,0.239,0.283,0.478,17.674,15,python
0,23,20,2,45,0.511,25,0.556,7,2,0.778,2,2,26,19,12,14,19,0.267,0.311,0.422,17.7,16,python
0,21,19,7,47,0.447,28,0.596,4,3,0.571,2,2,32,15,5,16,26,0.106,0.34,0.553,17.691,17,python
0,20,16,8,44,0.455,28,0.636,3,1,0.75,0,1,30,14,8,18,18,0.182,0.409,0.409,17.699,18,python
0,18,22,4,44,0.409,22,0.5,1,2,0.333,6,3,34,10,10,10,24,0.227,0.227,0.545,17.625,19,python
0,16,27,1,44,0.364,17,0.386,5,0,1.0,1,2,19,25,12,18,14,0.273,0.409,0.318,17.608,20,python
0,21,18,4,43,0.488,25,0.581,6,0,1.0,3,2,27,16,14,10,19,0.326,0.233,0.442,17.625,21,python
0,24,19,3,46,0.522,27,0.587,8,4,0.667,2,3,26,20,10,17,19,0.217,0.37,0.413,17.643,22,python
0,21,23,3,47,0.447,24,0.511,0,3,0.0,1,5,29,18,16,12,19,0.34,0.255,0.404,17.66,23,python
0,18,23,4,45,0.4,22,0.489,1,2,0.333,4,1,26,19,7,16,22,0.156,0.356,0.489,17.636,24,python
