shoe_index,player_win,player_loss,player_count,push,total_hands,win_pct,win_push,win_push_pct,doubles_won,doubles_lost,doubles_won_pct,player_bj,dealer_bj,dealer_high_card,dealer_low_card,dealer_bust,dealer_draw,dealer_stand,dealer_bust_pct,dealer_draw_pct,dealer_stand_pct,dealer_avg_hand,num_of_shuffles,shuffle_method,shoe_outcome
2,25,16,9,3,44,0.568,28,0.636,2,0,1.0,0,2,31,13,11,14,19,0.25,0.318,0.43200000000000005,17.759,3,python,win
31,20,19,1,3,42,0.47600000000000003,23,0.5479999999999999,1,2,0.33299999999999996,2,1,25,17,10,16,16,0.23800000000000002,0.381,0.381,17.798,32,python,win
34,21,20,1,3,44,0.47700000000000004,24,0.545,4,1,0.8,0,1,26,18,12,13,19,0.273,0.295,0.43200000000000005,17.803,35,python,win
43,23,22,1,1,46,0.5,24,0.522,3,3,0.5,1,4,30,16,12,13,21,0.261,0.28300000000000003,0.457,17.759,44,python,win
44,25,17,8,3,45,0.556,28,0.622,2,2,0.5,3,2,29,16,15,10,20,0.33299999999999996,0.222,0.444,17.75,45,python,win
55,23,21,2,3,47,0.489,26,0.5529999999999999,3,1,0.75,1,2,26,21,12,14,21,0.255,0.298,0.447,17.764,56,python,win
57,23,20,3,3,46,0.5,26,0.565,4,0,1.0,0,1,22,24,14,14,18,0.304,0.304,0.391,17.775,58,python,win
61,26,21,5,1,48,0.542,27,0.562,2,2,0.5,7,1,25,23,10,17,21,0.20800000000000002,0.354,0.43799999999999994,17.766,62,python,win
62,27,14,13,3,44,0.614,30,0.682,9,1,0.9,3,2,27,17,15,6,23,0.341,0.136,0.523,17.743,63,python,win
70,24,20,4,2,46,0.522,26,0.565,1,1,0.5,4,1,24,22,13,18,15,0.28300000000000003,0.391,0.326,17.743,71,python,win
83,24,19,5,2,45,0.5329999999999999,26,0.578,9,1,0.9,3,2,25,20,14,9,22,0.311,0.2,0.489,17.738,84,python,win
91,23,19,4,3,45,0.511,26,0.578,3,2,0.6,4,2,27,18,11,13,21,0.244,0.289,0.467,17.69,92,python,win
95,23,21,2,1,45,0.511,24,0.5329999999999999,3,3,0.5,3,1,23,22,12,13,20,0.267,0.289,0.444,17.695999999999998,96,python,win
112,23,18,5,3,44,0.523,26,0.591,4,1,0.8,2,0,28,16,9,17,18,0.205,0.386,0.409,17.862000000000002,17,python,win
116,25,18,7,1,44,0.568,26,0.591,4,2,0.667,2,1,29,15,15,15,14,0.341,0.341,0.318,17.823,21,python,win
120,25,17,8,3,45,0.556,28,0.622,3,1,0.75,1,0,27,18,12,10,23,0.267,0.222,0.511,17.831,25,python,win
121,26,16,10,2,44,0.591,28,0.636,5,0,1.0,4,2,21,23,18,8,18,0.409,0.182,0.409,17.824,26,python,win
131,23,20,3,0,43,0.535,23,0.535,2,2,0.5,1,2,22,21,15,15,13,0.349,0.349,0.302,17.811,36,python,win
137,26,16,10,1,43,0.605,27,0.628,3,4,0.429,3,2,27,16,13,16,14,0.302,0.37200000000000005,0.326,17.835,42,python,win
139,25,18,7,3,46,0.5429999999999999,28,0.609,3,4,0.429,2,3,26,20,16,10,20,0.348,0.217,0.435,17.826,44,python,win
146,26,17,9,2,45,0.578,28,0.622,6,1,0.857,2,2,25,20,12,12,21,0.267,0.267,0.467,17.804000000000002,51,python,win
154,23,21,2,1,45,0.511,24,0.5329999999999999,3,1,0.75,3,2,28,17,11,13,21,0.244,0.289,0.467,17.776,59,python,win
161,27,17,10,3,47,0.574,30,0.638,1,1,0.5,4,0,28,19,15,12,20,0.319,0.255,0.426,17.775,66,python,win
174,22,21,1,3,46,0.478,25,0.5429999999999999,2,3,0.4,7,2,26,20,8,15,23,0.174,0.326,0.5,17.766,79,python,win
184,24,20,4,2,46,0.522,26,0.565,3,0,1.0,1,1,28,18,11,18,17,0.239,0.391,0.37,17.746,89,python,win
192,24,20,4,2,46,0.522,26,0.565,5,2,0.7140000000000001,3,4,23,23,14,13,19,0.304,0.28300000000000003,0.413,17.741,1,python,win
193,23,20,3,3,46,0.5,26,0.565,1,0,1.0,5,3,29,17,11,10,25,0.239,0.217,0.5429999999999999,16.732,2,python,win
195,21,20,1,3,44,0.47700000000000004,24,0.545,4,3,0.5710000000000001,3,0,17,27,9,21,14,0.205,0.47700000000000004,0.318,17.509,4,python,win
199,25,21,4,1,47,0.532,26,0.5529999999999999,1,1,0.5,2,2,34,13,9,12,26,0.191,0.255,0.5529999999999999,17.502,8,python,win
205,25,17,8,3,45,0.556,28,0.622,4,1,0.8,5,1,25,20,14,13,18,0.311,0.289,0.4,17.56,14,python,win
207,24,23,1,1,48,0.5,25,0.521,2,1,0.667,4,0,27,21,10,13,25,0.20800000000000002,0.271,0.521,17.574,16,python,win
209,22,19,3,1,42,0.524,23,0.5479999999999999,2,1,0.667,4,1,28,14,10,18,14,0.23800000000000002,0.429,0.33299999999999996,17.578,18,python,win
211,25,19,6,1,45,0.556,26,0.578,9,1,0.9,2,1,27,18,12,14,19,0.267,0.311,0.42200000000000004,17.631,20,python,win
212,21,20,1,3,44,0.47700000000000004,24,0.545,2,1,0.667,0,2,31,13,11,11,22,0.25,0.25,0.5,17.631,21,python,win
214,24,21,3,2,47,0.511,26,0.5529999999999999,3,1,0.75,2,2,30,17,13,13,21,0.27699999999999997,0.27699999999999997,0.447,17.637999999999998,23,python,win
217,24,21,3,2,47,0.511,26,0.5529999999999999,1,2,0.33299999999999996,5,1,20,27,10,19,18,0.213,0.40399999999999997,0.38299999999999995,17.625,26,python,win
218,23,20,3,3,46,0.5,26,0.565,4,1,0.8,2,4,29,17,12,16,18,0.261,0.348,0.391,17.646,27,python,win
219,25,18,7,3,46,0.5429999999999999,28,0.609,3,3,0.5,3,3,27,19,18,11,17,0.391,0.239,0.37,17.634,28,python,win
221,25,22,3,2,49,0.51,27,0.551,2,1,0.667,5,1,24,25,12,17,20,0.245,0.34700000000000003,0.408,17.625999999999998,30,python,win
227,23,19,4,2,44,0.523,25,0.568,1,2,0.33299999999999996,4,1,23,21,10,14,20,0.22699999999999998,0.318,0.455,17.590999999999998,36,python,win
229,25,21,4,2,48,0.521,27,0.562,5,3,0.625,1,1,27,21,14,13,21,0.292,0.271,0.43799999999999994,17.611,38,python,win
234,24,18,6,2,44,0.545,26,0.591,2,4,0.33299999999999996,2,2,24,20,14,12,18,0.318,0.273,0.409,17.602,43,python,win
235,24,20,4,3,47,0.511,27,0.574,7,7,0.5,0,3,29,18,10,11,26,0.213,0.23399999999999999,0.5529999999999999,17.609,44,python,win
238,23,20,3,2,45,0.511,25,0.556,5,3,0.625,2,3,23,22,18,11,16,0.4,0.244,0.35600000000000004,17.61,47,python,win
245,24,22,2,2,48,0.5,26,0.542,6,2,0.75,4,1,31,17,13,12,23,0.271,0.25,0.479,17.61,54,python,win
251,24,19,5,3,46,0.522,27,0.5870000000000001,1,3,0.25,2,2,29,17,15,12,19,0.326,0.261,0.413,17.61,60,python,win
256,25,21,4,2,48,0.521,27,0.562,4,0,1.0,4,0,29,19,16,11,21,0.33299999999999996,0.22899999999999998,0.43799999999999994,17.585,65,python,win
264,25,21,4,2,48,0.521,27,0.562,3,2,0.6,2,2,25,23,12,15,21,0.25,0.312,0.43799999999999994,17.589000000000002,73,python,win
280,20,19,1,3,42,0.47600000000000003,23,0.5479999999999999,3,2,0.6,1,0,24,18,13,13,16,0.31,0.31,0.381,17.621,89,python,win
282,25,17,8,3,45,0.556,28,0.622,2,1,0.667,1,0,25,20,13,17,15,0.289,0.37799999999999995,0.33299999999999996,17.625999999999998,91,python,win
283,23,20,3,3,46,0.5,26,0.565,1,2,0.33299999999999996,2,1,26,20,13,16,17,0.28300000000000003,0.348,0.37,17.627,92,python,win
288,23,20,3,2,45,0.511,25,0.556,3,1,0.75,1,1,24,21,13,15,17,0.289,0.33299999999999996,0.37799999999999995,17.730999999999998,1,python,win
309,23,21,2,1,45,0.511,24,0.5329999999999999,4,3,0.5710000000000001,2,1,28,17,11,10,24,0.244,0.222,0.5329999999999999,17.753,22,python,win
342,31,12,19,1,44,0.705,32,0.727,4,0,1.0,2,0,25,19,18,12,14,0.409,0.273,0.318,17.680999999999997,55,python,win
344,27,16,11,2,45,0.6,29,0.644,4,2,0.667,2,2,26,19,13,16,16,0.289,0.35600000000000004,0.35600000000000004,17.695999999999998,57,python,win
351,25,17,8,3,45,0.556,28,0.622,1,2,0.33299999999999996,5,1,20,25,12,15,18,0.267,0.33299999999999996,0.4,17.707,64,python,win
365,23,22,1,3,48,0.479,26,0.542,4,4,0.5,3,0,27,21,12,16,20,0.25,0.33299999999999996,0.41700000000000004,17.711,78,python,win
