,dealer_up,player,move,outcome,dealer_outcome,dealer_bj,is_split,orig_hand,shuffle
0,4,17,stand,loss,draw,False,False,0,python
1,7,12,hit,loss,draw,False,True,"[8, 8]",python
2,7,18,stand,win,draw,False,True,"[8, 8]",python
3,10,18,stand,win,bust,False,False,0,python
4,10,21,stand,win,stand,False,False,0,python
5,6,18,stand,win,bust,False,False,0,python
6,10,17,stand,push,stand,False,False,0,python
7,6,12,stand,loss,draw,False,False,0,python
8,8,5,hit,push,stand,False,False,0,python
9,3,12,hit,loss,stand,False,False,0,python
10,10,13,hit,loss,stand,False,False,0,python
11,A,12,hit,win,draw,False,False,0,python
12,10,"[6, 16]",hit,win,bust,False,False,0,python
13,7,20,stand,win,stand,False,False,0,python
14,3,12,hit,loss,stand,False,False,0,python
15,10,"[2, 2]",hit,win,bust,False,False,0,python
16,A,"[4, 14]",hit,win,draw,False,False,0,python
17,6,13,stand,loss,draw,False,False,0,python
18,8,11,double,loss,stand,False,False,0,python
19,9,21,stand,win,stand,False,False,0,python
20,10,20,stand,push,stand,False,False,0,python
21,6,7,hit,win,bust,False,False,0,python
22,2,12,hit,loss,draw,False,False,0,python
23,2,20,stand,win,draw,False,False,0,python
24,10,19,stand,win,stand,False,False,0,python
25,10,13,hit,loss,stand,False,False,0,python
26,4,21,stand,win,stand,False,False,0,python
27,4,12,stand,win,bust,False,False,0,python
28,10,17,stand,push,stand,False,False,0,python
29,10,15,hit,loss,stand,False,False,0,python
30,6,20,stand,push,draw,False,False,0,python
31,8,15,hit,win,bust,False,False,0,python
32,3,"[5, 15]",hit,win,bust,False,False,0,python
33,3,6,hit,win,bust,False,False,0,python
34,7,10,double,win,bust,False,True,"[3, 3]",python
35,7,7,hit,win,bust,False,True,"[3, 3]",python
36,A,15,stand,loss,stand,True,False,0,python
37,10,15,hit,loss,stand,False,False,0,python
38,9,21,stand,win,stand,False,False,0,python
39,9,11,double,loss,stand,False,False,0,python
40,8,"[10, 10]",stand,win,stand,False,False,0,python
41,6,13,stand,loss,draw,False,False,0,python
42,3,13,stand,loss,draw,False,False,0,python
43,10,11,double,win,bust,False,False,0,python
44,2,15,stand,win,bust,False,False,0,python
45,6,13,stand,win,bust,False,False,0,python
46,5,16,stand,loss,draw,False,False,0,python
0,6,14,stand,loss,draw,False,False,0,python
1,7,18,stand,push,stand,False,False,0,python
2,6,14,stand,win,bust,False,False,0,python
3,4,19,stand,win,draw,False,False,0,python
4,8,16,hit,loss,stand,False,False,0,python
5,8,10,double,win,bust,False,False,0,python
6,6,"[5, 15]",double,win,bust,False,False,0,python
7,10,11,double,loss,stand,False,False,0,python
8,9,20,stand,win,stand,False,False,0,python
9,6,12,stand,loss,draw,False,False,0,python
10,3,5,hit,win,bust,False,False,0,python
11,6,17,stand,win,bust,False,False,0,python
12,5,15,stand,win,bust,False,False,0,python
13,5,12,stand,loss,draw,False,True,"[8, 8]",python
14,5,18,stand,loss,draw,False,True,"[8, 8]",python
15,A,"[4, 14]",hit,push,draw,False,False,0,python
16,5,13,stand,win,bust,False,False,0,python
17,6,16,stand,win,bust,False,False,0,python
18,7,5,hit,loss,stand,False,False,0,python
19,A,"[10, 10]",stand,win,draw,False,False,0,python
20,8,19,stand,win,bust,False,False,0,python
21,2,20,stand,win,bust,False,False,0,python
22,10,11,double,loss,draw,False,False,0,python
23,7,10,double,win,bust,False,False,0,python
24,A,13,hit,loss,stand,False,False,0,python
25,2,19,stand,loss,draw,False,False,0,python
26,10,10,hit,loss,stand,False,True,"[8, 8]",python
27,10,18,stand,loss,stand,False,True,"[8, 8]",python
28,10,18,stand,loss,stand,False,True,"[8, 8]",python
29,9,11,double,push,stand,False,False,0,python
30,10,20,stand,win,bust,False,False,0,python
31,4,20,stand,win,draw,False,False,0,python
32,10,8,hit,push,stand,False,False,0,python
33,10,21,stand,win,stand,False,False,0,python
34,5,20,stand,win,bust,False,False,0,python
35,8,14,hit,win,bust,False,False,0,python
36,A,13,stand,loss,stand,True,False,0,python
37,9,14,hit,loss,stand,False,False,0,python
38,10,16,hit,loss,stand,False,False,0,python
39,5,16,stand,loss,draw,False,False,0,python
40,7,14,hit,loss,stand,False,False,0,python
41,9,17,stand,loss,stand,False,False,0,python
42,5,"[5, 15]",double,win,bust,False,False,0,python
43,10,15,hit,loss,stand,False,False,0,python
44,A,21,stand,win,stand,False,False,0,python
45,7,9,hit,loss,stand,False,False,0,python
46,3,12,hit,loss,stand,False,False,0,python
0,10,14,hit,loss,stand,False,False,0,python
1,2,12,hit,loss,stand,False,False,0,python
2,5,20,stand,win,draw,False,False,0,python
3,10,13,hit,loss,stand,False,False,0,python
4,10,19,stand,win,stand,False,False,0,python
5,8,16,hit,loss,stand,False,False,0,python
6,3,13,stand,loss,draw,False,False,0,python
7,7,21,stand,win,stand,False,False,0,python
8,10,12,hit,loss,stand,False,False,0,python
9,7,12,hit,win,draw,False,False,0,python
10,7,21,stand,win,stand,False,False,0,python
11,2,16,stand,loss,draw,False,False,0,python
12,9,20,stand,win,stand,False,False,0,python
13,10,"[4, 4]",hit,loss,stand,False,False,0,python
14,10,19,stand,loss,stand,False,False,0,python
15,8,14,hit,loss,stand,False,False,0,python
16,6,12,stand,loss,stand,False,False,0,python
17,7,12,hit,win,draw,False,False,0,python
18,6,18,stand,win,bust,False,False,0,python
19,7,21,stand,win,stand,False,False,0,python
20,10,13,stand,loss,stand,True,False,0,python
21,8,12,hit,win,bust,False,False,0,python
22,6,13,stand,loss,draw,False,False,0,python
23,5,19,stand,push,draw,False,False,0,python
24,8,13,hit,loss,stand,False,False,0,python
25,8,11,double,win,bust,False,False,0,python
26,10,13,hit,loss,stand,False,False,0,python
27,5,15,stand,win,bust,False,False,0,python
28,6,14,stand,loss,draw,False,False,0,python
29,4,16,stand,loss,draw,False,False,0,python
30,10,14,hit,loss,stand,False,False,0,python
31,7,16,hit,loss,stand,False,False,0,python
32,2,21,stand,win,stand,False,False,0,python
33,10,19,stand,loss,stand,True,False,0,python
34,10,13,stand,loss,stand,True,False,0,python
35,10,12,stand,loss,stand,True,False,0,python
36,3,19,stand,win,draw,False,False,0,python
37,5,14,stand,loss,draw,False,False,0,python
38,2,"[3, 13]",hit,loss,draw,False,False,0,python
39,10,15,hit,loss,stand,False,False,0,python
40,10,12,hit,loss,stand,False,True,"[8, 8]",python
41,10,18,stand,loss,stand,False,True,"[8, 8]",python
42,10,18,stand,win,bust,False,False,0,python
43,A,5,hit,push,stand,False,False,0,python
44,7,8,hit,win,bust,False,False,0,python
45,10,"[7, 7]",hit,win,stand,False,False,0,python
46,7,10,double,loss,draw,False,False,0,python
47,10,13,hit,win,stand,False,False,0,python
0,7,20,stand,win,bust,False,False,0,python
1,8,19,stand,win,bust,False,False,0,python
2,10,12,hit,win,stand,False,False,0,python
3,10,15,hit,loss,stand,False,False,0,python
4,3,16,stand,loss,draw,False,False,0,python
5,10,12,hit,win,stand,False,False,0,python
6,5,20,stand,loss,draw,False,False,0,python
7,4,12,stand,win,bust,False,False,0,python
8,10,20,stand,loss,stand,True,False,0,python
9,A,12,stand,loss,stand,True,False,0,python
10,10,8,hit,loss,stand,False,False,0,python
11,10,14,hit,loss,stand,False,False,0,python
12,5,5,hit,loss,draw,False,False,0,python
13,3,13,stand,loss,draw,False,False,0,python
14,6,"[3, 13]",double,win,draw,False,True,"[2, 2]",python
15,6,8,hit,loss,draw,False,True,"[2, 2]",python
16,2,"[10, 10]",stand,push,draw,False,False,0,python
17,10,12,hit,loss,stand,False,False,0,python
18,4,7,hit,win,bust,False,True,"[3, 3]",python
19,4,13,stand,win,bust,False,True,"[3, 3]",python
20,6,10,double,win,bust,False,False,0,python
21,9,14,hit,loss,stand,False,False,0,python
22,8,"[8, 18]",stand,push,stand,False,False,0,python
23,6,17,stand,win,bust,False,False,0,python
24,2,"[3, 13]",hit,loss,draw,False,False,0,python
25,6,12,stand,win,bust,False,True,"[9, 9]",python
26,6,15,stand,win,bust,False,True,"[9, 9]",python
27,5,"[10, 10]",stand,push,draw,False,False,0,python
28,10,11,double,loss,stand,False,False,0,python
29,10,20,stand,win,stand,False,False,0,python
30,6,20,stand,win,bust,False,False,0,python
31,10,7,hit,loss,stand,False,False,0,python
32,4,13,stand,win,bust,False,False,0,python
33,4,21,stand,win,stand,False,False,0,python
34,7,"[8, 18]",stand,loss,draw,False,False,0,python
35,10,13,hit,loss,stand,False,False,0,python
36,3,18,stand,win,bust,False,False,0,python
37,7,12,hit,push,draw,False,False,0,python
38,2,9,hit,loss,draw,False,False,0,python
39,3,14,stand,loss,draw,False,False,0,python
40,5,18,stand,win,bust,False,False,0,python
41,10,12,hit,loss,stand,False,False,0,python
42,10,"[5, 15]",hit,win,draw,False,False,0,python
43,2,13,stand,win,bust,False,True,"[3, 3]",python
44,2,10,double,win,bust,False,True,"[3, 3]",python
45,10,17,stand,win,bust,False,False,0,python
46,4,20,stand,win,bust,False,False,0,python
47,10,14,hit,loss,stand,False,False,0,python
0,8,16,hit,loss,stand,False,False,0,python
1,6,15,stand,win,bust,False,False,0,python
2,2,7,hit,win,draw,False,True,"[2, 2]",python
3,2,11,double,loss,draw,False,True,"[2, 2]",python
4,3,13,stand,loss,draw,False,True,"[9, 9]",python
5,3,19,stand,loss,draw,False,True,"[9, 9]",python
6,A,16,hit,loss,stand,False,False,0,python
7,5,20,stand,win,bust,False,False,0,python
8,9,13,hit,win,bust,False,False,0,python
9,3,"[8, 18]",double,loss,draw,False,False,0,python
10,5,13,stand,win,bust,False,False,0,python
11,2,10,double,win,bust,False,False,0,python
12,10,17,stand,loss,stand,False,False,0,python
13,9,13,hit,loss,stand,False,False,0,python
