index,player_win,player_loss,push,total_hands,win_pct,win_push,win_push_pct,doubles_won,doubles_lost,doubles_won_pct,player_bj,dealer_bj,dealer_high_card,dealer_low_card,dealer_bust,dealer_draw,dealer_stand,dealer_bust_pct,dealer_draw_pct,dealer_stand_pct,dealer_avg_hand,num_of_shuffles,shuffle_method
0,16,23,5,44,0.364,21,0.477,2,2,0.5,2,3,27,17,10,13,21,0.227,0.295,0.477,17.7,1,python
0,20,20,5,45,0.444,25,0.556,1,2,0.333,2,0,32,13,12,15,18,0.267,0.333,0.4,17.828,2,python
0,25,16,3,44,0.568,28,0.636,2,0,1.0,0,2,31,13,11,14,19,0.25,0.318,0.432,17.759,3,python
0,13,22,10,45,0.289,23,0.511,2,2,0.5,1,5,26,19,9,19,17,0.2,0.422,0.378,17.922,4,python
0,17,25,4,46,0.37,21,0.457,1,0,1.0,2,3,29,17,9,14,23,0.196,0.304,0.5,18.076,5,python
0,16,25,4,45,0.356,20,0.444,1,1,0.5,2,3,32,13,6,16,23,0.133,0.356,0.511,18.0,6,python
0,18,26,5,49,0.367,23,0.469,6,1,0.857,1,2,32,17,6,20,23,0.122,0.408,0.469,17.99,7,python
0,17,24,4,45,0.378,21,0.467,1,3,0.25,2,3,32,13,7,13,25,0.156,0.289,0.556,17.975,8,python
0,18,25,4,47,0.383,22,0.468,2,2,0.5,2,1,27,20,8,14,25,0.17,0.298,0.532,17.877,9,python
0,13,27,4,44,0.295,17,0.386,2,3,0.4,1,1,35,9,6,9,29,0.136,0.205,0.659,17.885,10,python
0,17,21,5,43,0.395,22,0.512,0,1,0.0,2,0,24,19,10,13,20,0.233,0.302,0.465,17.88,11,python
0,19,25,3,47,0.404,22,0.468,4,3,0.571,2,3,25,22,11,17,19,0.234,0.362,0.404,17.86,12,python
0,21,18,6,45,0.467,27,0.6,6,4,0.6,1,1,24,21,12,14,19,0.267,0.311,0.422,17.832,13,python
0,17,28,2,47,0.362,19,0.404,4,1,0.8,1,3,30,17,11,13,23,0.234,0.277,0.489,17.842,14,python
0,15,26,3,44,0.341,18,0.409,7,4,0.636,2,3,25,19,9,12,23,0.205,0.273,0.523,17.774,15,python
0,18,24,2,44,0.409,20,0.455,3,6,0.333,2,4,30,14,11,15,18,0.25,0.341,0.409,17.737,16,python
0,21,19,5,45,0.467,26,0.578,4,2,0.667,1,3,24,21,12,15,18,0.267,0.333,0.4,17.733,17,python
0,18,21,6,45,0.4,24,0.533,1,4,0.2,1,0,25,20,11,18,16,0.244,0.4,0.356,17.746,18,python
0,19,21,4,44,0.432,23,0.523,3,1,0.75,1,1,24,20,10,20,14,0.227,0.455,0.318,17.768,19,python
0,17,17,7,41,0.415,24,0.585,6,1,0.857,0,1,23,18,11,16,14,0.268,0.39,0.341,17.794,20,python
0,20,25,4,49,0.408,24,0.49,7,6,0.538,1,2,29,20,6,25,18,0.122,0.51,0.367,17.801,21,python
