,player_win,player_loss,push,total_hands,win_pct,win_push,win_push_pct,doubles_won,doubles_lost,doubles_won_pct,player_bj,dealer_bj,dealer_high_card,dealer_low_card,dealer_bust,dealer_draw,dealer_stand,dealer_bust_pct,dealer_draw_pct,dealer_stand_pct,dealer_avg_hand,num_of_shuffles,shuffle_method
0,20,23,3,46,0.435,23,0.5,1,1,0.5,1,2,31,15,12,16,18,0.261,0.348,0.391,17.852,1,riffle_clumpy
0,14,31,1,46,0.304,15,0.326,2,7,0.222,2,1,23,23,7,21,18,0.152,0.457,0.391,18.258,2,riffle_clumpy
0,23,22,3,48,0.479,26,0.542,4,2,0.667,2,2,29,19,14,18,16,0.292,0.375,0.333,18.267,3,riffle_clumpy
0,21,23,4,48,0.438,25,0.521,3,1,0.75,2,3,25,23,13,14,21,0.271,0.292,0.438,18.168,4,riffle_clumpy
0,18,28,3,49,0.367,21,0.429,3,1,0.75,0,4,30,19,9,19,21,0.184,0.388,0.429,18.199,5,riffle_clumpy
0,26,24,1,51,0.51,27,0.529,4,4,0.5,1,2,29,22,21,14,16,0.412,0.275,0.314,18.158,6,riffle_clumpy
0,21,24,4,49,0.429,25,0.51,5,3,0.625,4,1,30,19,12,18,19,0.245,0.367,0.388,18.196,7,riffle_clumpy
0,20,23,4,47,0.426,24,0.511,2,1,0.667,2,1,28,19,13,17,17,0.277,0.362,0.362,18.214,8,riffle_clumpy
0,19,28,1,48,0.396,20,0.417,1,1,0.5,2,3,31,17,11,17,20,0.229,0.354,0.417,18.243,9,riffle_clumpy
0,20,26,2,48,0.417,22,0.458,4,2,0.667,3,3,30,18,10,15,23,0.208,0.312,0.479,18.213,10,riffle_clumpy
0,20,23,4,47,0.426,24,0.511,1,1,0.5,4,1,35,12,10,15,22,0.213,0.319,0.468,18.204,11,riffle_clumpy
0,21,22,3,46,0.457,24,0.522,4,2,0.667,2,2,34,12,10,15,21,0.217,0.326,0.457,18.202,12,riffle_clumpy
0,22,23,2,47,0.468,24,0.511,2,3,0.4,4,1,29,18,14,19,14,0.298,0.404,0.298,18.207,13,riffle_clumpy
0,22,23,2,47,0.468,24,0.511,6,2,0.75,4,2,33,14,12,12,23,0.255,0.255,0.489,18.151,14,riffle_clumpy
0,19,24,4,47,0.404,23,0.489,5,1,0.833,2,3,31,16,9,19,19,0.191,0.404,0.404,18.161,15,riffle_clumpy
0,21,23,4,48,0.438,25,0.521,3,1,0.75,6,2,25,23,7,16,25,0.146,0.333,0.521,18.091,16,riffle_clumpy
0,25,20,3,48,0.521,28,0.583,2,1,0.667,0,5,31,17,18,13,17,0.375,0.271,0.354,18.089,17,riffle_clumpy
0,17,26,6,49,0.347,23,0.469,2,2,0.5,1,2,23,26,9,22,18,0.184,0.449,0.367,18.091,18,riffle_clumpy
0,20,26,2,48,0.417,22,0.458,2,1,0.667,4,3,30,18,13,11,24,0.271,0.229,0.5,18.083,19,riffle_clumpy
0,23,22,2,47,0.489,25,0.532,4,2,0.667,1,0,30,17,17,12,18,0.362,0.255,0.383,18.083,20,riffle_clumpy
0,19,23,7,49,0.388,26,0.531,2,2,0.5,4,5,31,18,11,18,20,0.224,0.367,0.408,18.076,21,riffle_clumpy
0,24,23,1,48,0.5,25,0.521,4,2,0.667,5,1,29,19,10,15,23,0.208,0.312,0.479,18.032,22,riffle_clumpy
0,13,33,2,48,0.271,15,0.312,1,2,0.333,1,1,29,19,10,22,16,0.208,0.458,0.333,18.04,23,riffle_clumpy
